plateID,wellID,name,Population,Count,ParentCount,PercentParent,RootCount,PercentRoot
A,A02,A02_001_20221201_131902.fcs,/Debris,29966,33431,89.63536837067393,33431,89.63536837067393
A,A02,A02_001_20221201_131902.fcs,/Debris/Singlets,23506,29966,78.44223453247014,33431,70.31198588136759
A,A02,A02_001_20221201_131902.fcs,/Debris/Singlets/Live,22906,23506,97.4474602229218,33431,68.51724447369209
B,A02,A02_001_20221201_142929.fcs,/Debris,4480,5069,88.38035115407378,5069,88.38035115407378
B,A02,A02_001_20221201_142929.fcs,/Debris/Singlets,3652,4480,81.51785714285714,5069,72.04576839613335
B,A02,A02_001_20221201_142929.fcs,/Debris/Singlets/Live,3539,3652,96.90580503833516,5069,69.81653186032747
A,A03,A03_001_20221201_131957.fcs,/Debris,45044,50000,90.08800000000001,50000,90.08800000000001
A,A03,A03_001_20221201_131957.fcs,/Debris/Singlets,36720,45044,81.52029127075748,50000,73.44000000000001
A,A03,A03_001_20221201_131957.fcs,/Debris/Singlets/Live,35961,36720,97.93300653594771,50000,71.922
B,A03,A03_001_20221201_143025.fcs,/Debris,23395,26814,87.2491981800552,26814,87.2491981800552
B,A03,A03_001_20221201_143025.fcs,/Debris/Singlets,17228,23395,73.63966659542638,26814,64.25001864697546
B,A03,A03_001_20221201_143025.fcs,/Debris/Singlets/Live,16840,17228,97.74785233341072,26814,62.803013351234426
A,A04,A04_001_20221201_132052.fcs,/Debris,27911,31940,87.38572323105824,31940,87.38572323105824
A,A04,A04_001_20221201_132052.fcs,/Debris/Singlets,20877,27911,74.79846655440508,31940,65.36318096430807
A,A04,A04_001_20221201_132052.fcs,/Debris/Singlets/Live,20675,20877,99.03242803084734,31940,64.7307451471509
B,A04,A04_001_20221201_143121.fcs,/Debris,15596,18206,85.66406679116774,18206,85.66406679116774
B,A04,A04_001_20221201_143121.fcs,/Debris/Singlets,11719,15596,75.1410618107207,18206,64.36888937712843
B,A04,A04_001_20221201_143121.fcs,/Debris/Singlets/Live,11594,11719,98.93335608840344,18206,63.682302537624956
A,A05,A05_001_20221201_132129.fcs,/Debris,38244,50000,76.488,50000,76.488
A,A05,A05_001_20221201_132129.fcs,/Debris/Singlets,35158,38244,91.93076038071332,50000,70.316
A,A05,A05_001_20221201_132129.fcs,/Debris/Singlets/Live,22876,35158,65.06627225666989,50000,45.751999999999995
B,A05,A05_001_20221201_143156.fcs,/Debris,38071,50000,76.142,50000,76.142
B,A05,A05_001_20221201_143156.fcs,/Debris/Singlets,34512,38071,90.6516771295737,50000,69.024
B,A05,A05_001_20221201_143156.fcs,/Debris/Singlets/Live,24354,34512,70.56675938803895,50000,48.708
A,A06,A06_001_20221201_132210.fcs,/Debris,43045,50000,86.09,50000,86.09
A,A06,A06_001_20221201_132210.fcs,/Debris/Singlets,37122,43045,86.23998141479848,50000,74.244
A,A06,A06_001_20221201_132210.fcs,/Debris/Singlets/Live,36624,37122,98.65847745272345,50000,73.248
B,A06,A06_001_20221201_143239.fcs,/Debris,42490,50000,84.98,50000,84.98
B,A06,A06_001_20221201_143239.fcs,/Debris/Singlets,35801,42490,84.25747234643445,50000,71.602
B,A06,A06_001_20221201_143239.fcs,/Debris/Singlets/Live,35376,35801,98.81288232172287,50000,70.75200000000001
A,A07,A07_001_20221201_132249.fcs,/Debris,41648,50000,83.296,50000,83.296
A,A07,A07_001_20221201_132249.fcs,/Debris/Singlets,36541,41648,87.73770649250865,50000,73.08200000000001
A,A07,A07_001_20221201_132249.fcs,/Debris/Singlets/Live,36137,36541,98.89439260009306,50000,72.274
B,A07,A07_001_20221201_143318.fcs,/Debris,41403,50000,82.806,50000,82.806
